,Compound Score,Negative Score,Neutral Score,Outlet,Positive Score,Tweets Ago
0,0.8481,0.0,0.685,@BBCWorld,0.315,1
1,0.8481,0.0,0.685,@BBCWorld,0.315,2
2,0.5399,0.0,0.821,@BBCWorld,0.179,3
3,0.0772,0.226,0.526,@BBCWorld,0.248,4
4,0.4215,0.0,0.811,@BBCWorld,0.189,5
5,0.3612,0.0,0.783,@BBCWorld,0.217,6
6,0.0,0.0,1.0,@BBCWorld,0.0,7
7,0.0,0.0,1.0,@BBCWorld,0.0,8
8,0.5859,0.0,0.847,@BBCWorld,0.153,9
9,0.2732,0.0,0.811,@BBCWorld,0.189,10
10,0.0,0.0,1.0,@BBCWorld,0.0,11
11,-0.6908,0.343,0.657,@BBCWorld,0.0,12
12,0.0,0.0,1.0,@BBCWorld,0.0,13
13,0.6705,0.0,0.744,@BBCWorld,0.256,14
14,0.6908,0.0,0.637,@BBCWorld,0.363,15
15,-0.4588,0.3,0.7,@BBCWorld,0.0,16
16,-0.6588,0.197,0.803,@BBCWorld,0.0,17
17,0.0,0.0,1.0,@BBCWorld,0.0,18
18,0.0,0.0,1.0,@BBCWorld,0.0,19
19,0.0,0.0,1.0,@BBCWorld,0.0,20
20,-0.802,0.474,0.526,@BBCWorld,0.0,21
21,0.0,0.0,1.0,@BBCWorld,0.0,22
22,0.0,0.0,1.0,@BBCWorld,0.0,23
23,-0.8689,0.524,0.476,@BBCWorld,0.0,24
24,-0.8658,0.764,0.236,@BBCWorld,0.0,25
25,0.1779,0.0,0.805,@BBCWorld,0.195,26
26,0.4404,0.0,0.805,@BBCWorld,0.195,27
27,0.2023,0.0,0.93,@BBCWorld,0.07,28
28,-0.0772,0.085,0.848,@BBCWorld,0.067,29
29,0.2263,0.0,0.808,@BBCWorld,0.192,30
30,-0.5423,0.259,0.741,@BBCWorld,0.0,31
31,0.0,0.0,1.0,@BBCWorld,0.0,32
32,0.8439,0.0,0.687,@BBCWorld,0.313,33
33,0.0,0.0,1.0,@BBCWorld,0.0,34
34,-0.5423,0.467,0.533,@BBCWorld,0.0,35
35,0.4939,0.0,0.738,@BBCWorld,0.262,36
36,-0.3818,0.302,0.698,@BBCWorld,0.0,37
37,0.0,0.0,1.0,@BBCWorld,0.0,38
38,0.0,0.0,1.0,@BBCWorld,0.0,39
39,0.0,0.0,1.0,@BBCWorld,0.0,40
40,-0.1531,0.229,0.593,@BBCWorld,0.178,41
41,0.0,0.0,1.0,@BBCWorld,0.0,42
42,-0.34,0.28,0.533,@BBCWorld,0.187,43
43,-0.4019,0.231,0.769,@BBCWorld,0.0,44
44,0.0,0.0,1.0,@BBCWorld,0.0,45
45,0.5106,0.054,0.805,@BBCWorld,0.142,46
46,0.847,0.0,0.686,@BBCWorld,0.314,47
47,0.5859,0.0,0.513,@BBCWorld,0.487,48
48,0.0,0.0,1.0,@BBCWorld,0.0,49
49,0.0,0.0,1.0,@BBCWorld,0.0,50
50,0.0,0.0,1.0,@BBCWorld,0.0,51
51,0.0,0.0,1.0,@BBCWorld,0.0,52
52,0.0,0.0,1.0,@BBCWorld,0.0,53
53,-0.6361,0.295,0.705,@BBCWorld,0.0,54
54,0.5719,0.0,0.802,@BBCWorld,0.198,55
55,0.0,0.0,1.0,@BBCWorld,0.0,56
56,0.5859,0.0,0.78,@BBCWorld,0.22,57
57,-0.6369,0.318,0.682,@BBCWorld,0.0,58
58,0.0,0.0,1.0,@BBCWorld,0.0,59
59,-0.4939,0.314,0.686,@BBCWorld,0.0,60
60,0.0,0.0,1.0,@BBCWorld,0.0,61
61,0.0,0.0,1.0,@BBCWorld,0.0,62
62,0.4404,0.0,0.707,@BBCWorld,0.293,63
63,0.0,0.0,1.0,@BBCWorld,0.0,64
64,-0.4404,0.326,0.674,@BBCWorld,0.0,65
65,0.128,0.0,0.919,@BBCWorld,0.081,66
66,0.34,0.221,0.441,@BBCWorld,0.338,67
67,0.3182,0.0,0.887,@BBCWorld,0.113,68
68,0.0,0.0,1.0,@BBCWorld,0.0,69
69,0.1531,0.076,0.827,@BBCWorld,0.097,70
70,-0.4404,0.195,0.805,@BBCWorld,0.0,71
71,0.0,0.0,1.0,@BBCWorld,0.0,72
72,0.0,0.0,1.0,@BBCWorld,0.0,73
73,-0.34,0.167,0.833,@BBCWorld,0.0,74
74,-0.5267,0.236,0.764,@BBCWorld,0.0,75
75,0.0,0.0,1.0,@BBCWorld,0.0,76
76,0.0,0.0,1.0,@BBCWorld,0.0,77
77,0.128,0.0,0.941,@BBCWorld,0.059,78
78,-0.8176,0.347,0.653,@BBCWorld,0.0,79
79,0.0,0.0,1.0,@BBCWorld,0.0,80
80,0.0,0.0,1.0,@BBCWorld,0.0,81
81,0.0,0.0,1.0,@BBCWorld,0.0,82
82,-0.765,0.452,0.548,@BBCWorld,0.0,83
83,-0.5994,0.412,0.588,@BBCWorld,0.0,84
84,-0.4019,0.231,0.769,@BBCWorld,0.0,85
85,0.0,0.0,1.0,@BBCWorld,0.0,86
86,0.5106,0.0,0.708,@BBCWorld,0.292,87
87,0.0,0.0,1.0,@BBCWorld,0.0,88
88,0.0,0.0,1.0,@BBCWorld,0.0,89
89,0.2023,0.0,0.847,@BBCWorld,0.153,90
90,0.0,0.0,1.0,@BBCWorld,0.0,91
91,0.128,0.116,0.741,@BBCWorld,0.143,92
92,-0.836,0.497,0.503,@BBCWorld,0.0,93
93,-0.34,0.231,0.769,@BBCWorld,0.0,94
94,-0.7783,0.274,0.726,@BBCWorld,0.0,95
95,0.0,0.0,1.0,@BBCWorld,0.0,96
96,0.4939,0.0,0.738,@BBCWorld,0.262,97
97,-0.802,0.275,0.725,@BBCWorld,0.0,98
98,-0.9042,0.615,0.385,@BBCWorld,0.0,99
99,0.0,0.0,1.0,@BBCWorld,0.0,100
0,0.2732,0.0,0.861,@CBSNews,0.139,1
1,0.2732,0.0,0.861,@CBSNews,0.139,2
2,-0.5574,0.195,0.805,@CBSNews,0.0,3
3,0.0,0.0,1.0,@CBSNews,0.0,4
4,-0.4019,0.172,0.828,@CBSNews,0.0,5
5,-0.7506,0.348,0.652,@CBSNews,0.0,6
6,-0.4767,0.22,0.78,@CBSNews,0.0,7
7,0.0,0.0,1.0,@CBSNews,0.0,8
8,0.3612,0.0,0.884,@CBSNews,0.116,9
9,0.5719,0.0,0.829,@CBSNews,0.171,10
10,-0.34,0.194,0.806,@CBSNews,0.0,11
11,-0.0762,0.105,0.895,@CBSNews,0.0,12
12,0.0,0.0,1.0,@CBSNews,0.0,13
13,-0.8176,0.273,0.727,@CBSNews,0.0,14
14,0.2732,0.0,0.851,@CBSNews,0.149,15
15,-0.296,0.104,0.896,@CBSNews,0.0,16
16,0.0,0.0,1.0,@CBSNews,0.0,17
17,-0.1027,0.174,0.674,@CBSNews,0.152,18
18,-0.7506,0.33,0.67,@CBSNews,0.0,19
19,-0.3182,0.108,0.892,@CBSNews,0.0,20
20,0.0,0.0,1.0,@CBSNews,0.0,21
21,0.0,0.0,1.0,@CBSNews,0.0,22
22,0.5859,0.0,0.817,@CBSNews,0.183,23
23,0.0,0.0,1.0,@CBSNews,0.0,24
24,-0.3182,0.161,0.839,@CBSNews,0.0,25
25,-0.296,0.095,0.905,@CBSNews,0.0,26
26,-0.7184,0.286,0.714,@CBSNews,0.0,27
27,0.9001,0.0,0.633,@CBSNews,0.367,28
28,-0.4767,0.205,0.795,@CBSNews,0.0,29
29,0.0,0.0,1.0,@CBSNews,0.0,30
30,-0.7506,0.368,0.632,@CBSNews,0.0,31
31,-0.7096,0.371,0.629,@CBSNews,0.0,32
32,0.0,0.0,1.0,@CBSNews,0.0,33
33,0.0,0.0,1.0,@CBSNews,0.0,34
34,-0.6705,0.22,0.78,@CBSNews,0.0,35
35,0.0,0.0,1.0,@CBSNews,0.0,36
36,-0.296,0.121,0.879,@CBSNews,0.0,37
37,-0.6637,0.352,0.648,@CBSNews,0.0,38
38,0.0,0.0,1.0,@CBSNews,0.0,39
39,-0.5574,0.159,0.841,@CBSNews,0.0,40
40,0.0,0.0,1.0,@CBSNews,0.0,41
41,-0.8271,0.312,0.688,@CBSNews,0.0,42
42,0.0,0.0,1.0,@CBSNews,0.0,43
43,-0.2263,0.112,0.888,@CBSNews,0.0,44
44,0.75,0.0,0.727,@CBSNews,0.273,45
45,0.0,0.0,1.0,@CBSNews,0.0,46
46,0.3612,0.0,0.8,@CBSNews,0.2,47
47,0.2263,0.151,0.649,@CBSNews,0.2,48
48,0.0,0.0,1.0,@CBSNews,0.0,49
49,0.5267,0.0,0.833,@CBSNews,0.167,50
50,0.0,0.0,1.0,@CBSNews,0.0,51
51,-0.8176,0.459,0.541,@CBSNews,0.0,52
52,-0.6486,0.235,0.765,@CBSNews,0.0,53
53,0.0,0.0,1.0,@CBSNews,0.0,54
54,-0.2023,0.096,0.904,@CBSNews,0.0,55
55,-0.7269,0.217,0.783,@CBSNews,0.0,56
56,0.4939,0.054,0.808,@CBSNews,0.138,57
57,0.0,0.0,1.0,@CBSNews,0.0,58
58,-0.6486,0.281,0.719,@CBSNews,0.0,59
59,0.0,0.0,1.0,@CBSNews,0.0,60
60,-0.6808,0.211,0.789,@CBSNews,0.0,61
61,-0.3804,0.101,0.899,@CBSNews,0.0,62
62,-0.4767,0.258,0.622,@CBSNews,0.12,63
63,0.5719,0.084,0.675,@CBSNews,0.241,64
64,0.4588,0.0,0.769,@CBSNews,0.231,65
65,0.4588,0.0,0.8,@CBSNews,0.2,66
66,0.0,0.0,1.0,@CBSNews,0.0,67
67,0.8176,0.0,0.712,@CBSNews,0.288,68
68,0.0258,0.0,0.936,@CBSNews,0.064,69
69,-0.6597,0.351,0.649,@CBSNews,0.0,70
70,0.0,0.0,1.0,@CBSNews,0.0,71
71,-0.2023,0.141,0.859,@CBSNews,0.0,72
72,0.7634,0.044,0.714,@CBSNews,0.243,73
73,0.0,0.0,1.0,@CBSNews,0.0,74
74,-0.7124,0.342,0.522,@CBSNews,0.136,75
75,0.0,0.0,1.0,@CBSNews,0.0,76
76,0.128,0.0,0.927,@CBSNews,0.073,77
77,0.296,0.0,0.891,@CBSNews,0.109,78
78,-0.6249,0.272,0.728,@CBSNews,0.0,79
79,-0.4404,0.162,0.838,@CBSNews,0.0,80
80,-0.5023,0.146,0.854,@CBSNews,0.0,81
81,0.2023,0.0,0.904,@CBSNews,0.096,82
82,0.0,0.0,1.0,@CBSNews,0.0,83
83,-0.296,0.109,0.891,@CBSNews,0.0,84
84,-0.3182,0.156,0.741,@CBSNews,0.103,85
85,-0.6249,0.339,0.661,@CBSNews,0.0,86
86,-0.4767,0.408,0.382,@CBSNews,0.21,87
87,-0.5106,0.125,0.875,@CBSNews,0.0,88
88,-0.7003,0.244,0.756,@CBSNews,0.0,89
89,-0.3818,0.167,0.833,@CBSNews,0.0,90
90,-0.4019,0.172,0.828,@CBSNews,0.0,91
91,0.0,0.0,1.0,@CBSNews,0.0,92
92,-0.5859,0.324,0.676,@CBSNews,0.0,93
93,-0.4449,0.184,0.816,@CBSNews,0.0,94
94,-0.296,0.145,0.855,@CBSNews,0.0,95
95,0.3612,0.0,0.889,@CBSNews,0.111,96
96,-0.4767,0.3,0.567,@CBSNews,0.134,97
97,0.2732,0.0,0.884,@CBSNews,0.116,98
98,-0.2023,0.236,0.64,@CBSNews,0.124,99
99,0.0,0.0,1.0,@CBSNews,0.0,100
0,0.835,0.056,0.632,@CNN,0.312,1
1,0.835,0.056,0.632,@CNN,0.312,2
2,0.2023,0.0,0.87,@CNN,0.13,3
3,0.2023,0.0,0.886,@CNN,0.114,4
4,0.0,0.0,1.0,@CNN,0.0,5
5,0.296,0.0,0.896,@CNN,0.104,6
6,0.0,0.0,1.0,@CNN,0.0,7
7,-0.4767,0.339,0.661,@CNN,0.0,8
8,0.0,0.0,1.0,@CNN,0.0,9
9,0.6249,0.0,0.823,@CNN,0.177,10
10,0.2732,0.0,0.896,@CNN,0.104,11
11,0.0,0.0,1.0,@CNN,0.0,12
12,0.4019,0.0,0.863,@CNN,0.137,13
13,-0.128,0.067,0.933,@CNN,0.0,14
14,-0.7906,0.318,0.682,@CNN,0.0,15
15,0.4019,0.0,0.87,@CNN,0.13,16
16,-0.2263,0.106,0.894,@CNN,0.0,17
17,-0.4588,0.182,0.818,@CNN,0.0,18
18,0.0,0.0,1.0,@CNN,0.0,19
19,-0.2732,0.134,0.783,@CNN,0.083,20
20,-0.2263,0.106,0.894,@CNN,0.0,21
21,0.0,0.0,1.0,@CNN,0.0,22
22,0.0,0.0,1.0,@CNN,0.0,23
23,0.0,0.0,1.0,@CNN,0.0,24
24,0.0,0.0,1.0,@CNN,0.0,25
25,0.5859,0.0,0.678,@CNN,0.322,26
26,0.1796,0.158,0.644,@CNN,0.199,27
27,0.0,0.0,1.0,@CNN,0.0,28
28,0.6597,0.0,0.69,@CNN,0.31,29
29,0.0,0.0,1.0,@CNN,0.0,30
30,0.1027,0.0,0.924,@CNN,0.076,31
31,0.0,0.0,1.0,@CNN,0.0,32
32,0.0,0.0,1.0,@CNN,0.0,33
33,-0.3818,0.126,0.874,@CNN,0.0,34
34,-0.2263,0.112,0.888,@CNN,0.0,35
35,-0.3818,0.313,0.505,@CNN,0.182,36
36,-0.7096,0.269,0.731,@CNN,0.0,37
37,0.0,0.0,1.0,@CNN,0.0,38
38,-0.765,0.375,0.625,@CNN,0.0,39
39,-0.2732,0.08,0.92,@CNN,0.0,40
40,0.0,0.0,1.0,@CNN,0.0,41
41,0.0,0.0,1.0,@CNN,0.0,42
42,0.0,0.0,1.0,@CNN,0.0,43
43,0.0,0.0,1.0,@CNN,0.0,44
44,0.0,0.0,1.0,@CNN,0.0,45
45,-0.6249,0.298,0.702,@CNN,0.0,46
46,0.0,0.0,1.0,@CNN,0.0,47
47,-0.34,0.13,0.87,@CNN,0.0,48
48,0.0,0.0,1.0,@CNN,0.0,49
49,0.128,0.0,0.87,@CNN,0.13,50
50,-0.5574,0.159,0.841,@CNN,0.0,51
51,0.4019,0.0,0.847,@CNN,0.153,52
52,0.1027,0.0,0.938,@CNN,0.062,53
53,0.7184,0.0,0.731,@CNN,0.269,54
54,0.0,0.0,1.0,@CNN,0.0,55
55,0.0,0.0,1.0,@CNN,0.0,56
56,0.34,0.0,0.882,@CNN,0.118,57
57,0.0,0.0,1.0,@CNN,0.0,58
58,0.0,0.0,1.0,@CNN,0.0,59
59,-0.7184,0.286,0.714,@CNN,0.0,60
60,0.0,0.0,1.0,@CNN,0.0,61
61,-0.5574,0.159,0.841,@CNN,0.0,62
62,0.4215,0.0,0.798,@CNN,0.202,63
63,-0.296,0.115,0.885,@CNN,0.0,64
64,0.4019,0.0,0.87,@CNN,0.13,65
65,0.0,0.0,1.0,@CNN,0.0,66
66,-0.9287,0.407,0.593,@CNN,0.0,67
67,-0.5943,0.246,0.657,@CNN,0.097,68
68,-0.9201,0.466,0.534,@CNN,0.0,69
69,0.0,0.0,1.0,@CNN,0.0,70
70,0.0,0.0,1.0,@CNN,0.0,71
71,-0.296,0.104,0.896,@CNN,0.0,72
72,0.5719,0.0,0.684,@CNN,0.316,73
73,-0.3818,0.11,0.89,@CNN,0.0,74
74,0.0,0.0,1.0,@CNN,0.0,75
75,0.0,0.0,1.0,@CNN,0.0,76
76,-0.1779,0.078,0.922,@CNN,0.0,77
77,0.5994,0.0,0.776,@CNN,0.224,78
78,0.4215,0.0,0.797,@CNN,0.203,79
79,-0.296,0.155,0.845,@CNN,0.0,80
80,0.4404,0.0,0.868,@CNN,0.132,81
81,-0.743,0.259,0.741,@CNN,0.0,82
82,0.0,0.0,1.0,@CNN,0.0,83
83,-0.2975,0.095,0.905,@CNN,0.0,84
84,-0.1779,0.137,0.863,@CNN,0.0,85
85,-0.3182,0.095,0.905,@CNN,0.0,86
86,0.4404,0.0,0.868,@CNN,0.132,87
87,-0.3612,0.135,0.865,@CNN,0.0,88
88,0.0,0.0,1.0,@CNN,0.0,89
89,0.4019,0.0,0.803,@CNN,0.197,90
90,0.0,0.0,1.0,@CNN,0.0,91
91,0.3612,0.0,0.889,@CNN,0.111,92
92,0.4767,0.0,0.838,@CNN,0.162,93
93,0.0,0.0,1.0,@CNN,0.0,94
94,0.0,0.0,1.0,@CNN,0.0,95
95,-0.1139,0.109,0.891,@CNN,0.0,96
96,0.0,0.09,0.82,@CNN,0.09,97
97,-0.128,0.091,0.909,@CNN,0.0,98
98,0.4588,0.0,0.8,@CNN,0.2,99
99,-0.4767,0.14,0.86,@CNN,0.0,100
0,-0.3071,0.117,0.883,@FoxNews,0.0,1
1,-0.3071,0.117,0.883,@FoxNews,0.0,2
2,-0.34,0.211,0.789,@FoxNews,0.0,3
3,-0.5994,0.17,0.83,@FoxNews,0.0,4
4,0.3412,0.0,0.853,@FoxNews,0.147,5
5,0.0,0.0,1.0,@FoxNews,0.0,6
6,0.0,0.0,1.0,@FoxNews,0.0,7
7,0.0,0.0,1.0,@FoxNews,0.0,8
8,0.8834,0.0,0.648,@FoxNews,0.352,9
9,0.5983,0.0,0.754,@FoxNews,0.246,10
10,0.0,0.0,1.0,@FoxNews,0.0,11
11,0.3595,0.0,0.889,@FoxNews,0.111,12
12,0.0,0.0,1.0,@FoxNews,0.0,13
13,0.0,0.0,1.0,@FoxNews,0.0,14
14,-0.5574,0.167,0.833,@FoxNews,0.0,15
15,-0.8957,0.403,0.597,@FoxNews,0.0,16
16,0.0,0.0,1.0,@FoxNews,0.0,17
17,0.0,0.0,1.0,@FoxNews,0.0,18
18,0.0,0.0,1.0,@FoxNews,0.0,19
19,-0.743,0.332,0.611,@FoxNews,0.057,20
20,-0.7579,0.317,0.579,@FoxNews,0.104,21
21,0.5106,0.0,0.769,@FoxNews,0.231,22
22,0.0,0.0,1.0,@FoxNews,0.0,23
23,0.5423,0.0,0.837,@FoxNews,0.163,24
24,0.128,0.0,0.919,@FoxNews,0.081,25
25,-0.5719,0.209,0.791,@FoxNews,0.0,26
26,0.0,0.0,1.0,@FoxNews,0.0,27
27,-0.8126,0.28,0.72,@FoxNews,0.0,28
28,-0.8225,0.388,0.612,@FoxNews,0.0,29
29,-0.765,0.268,0.732,@FoxNews,0.0,30
30,0.4576,0.0,0.834,@FoxNews,0.166,31
31,0.0,0.0,1.0,@FoxNews,0.0,32
32,-0.7351,0.307,0.693,@FoxNews,0.0,33
33,0.0,0.0,1.0,@FoxNews,0.0,34
34,0.0,0.0,1.0,@FoxNews,0.0,35
35,0.0516,0.093,0.806,@FoxNews,0.101,36
36,0.34,0.0,0.833,@FoxNews,0.167,37
37,-0.7003,0.279,0.721,@FoxNews,0.0,38
38,-0.4215,0.128,0.872,@FoxNews,0.0,39
39,0.5106,0.0,0.719,@FoxNews,0.281,40
40,0.0,0.0,1.0,@FoxNews,0.0,41
41,0.0,0.0,1.0,@FoxNews,0.0,42
42,0.4019,0.0,0.69,@FoxNews,0.31,43
43,0.3612,0.1,0.693,@FoxNews,0.208,44
44,0.0,0.0,1.0,@FoxNews,0.0,45
45,-0.5574,0.223,0.777,@FoxNews,0.0,46
46,0.8173,0.0,0.706,@FoxNews,0.294,47
47,0.7184,0.127,0.522,@FoxNews,0.351,48
48,0.0,0.0,1.0,@FoxNews,0.0,49
49,0.0,0.0,1.0,@FoxNews,0.0,50
50,0.0,0.0,1.0,@FoxNews,0.0,51
51,0.91,0.0,0.676,@FoxNews,0.324,52
52,0.839,0.0,0.572,@FoxNews,0.428,53
53,0.0,0.0,1.0,@FoxNews,0.0,54
54,0.0,0.0,1.0,@FoxNews,0.0,55
55,0.743,0.0,0.717,@FoxNews,0.283,56
56,-0.296,0.196,0.804,@FoxNews,0.0,57
57,-0.5574,0.235,0.765,@FoxNews,0.0,58
58,0.0,0.0,1.0,@FoxNews,0.0,59
59,-0.2263,0.211,0.65,@FoxNews,0.138,60
60,-0.2732,0.104,0.896,@FoxNews,0.0,61
61,0.6369,0.0,0.755,@FoxNews,0.245,62
62,0.0,0.0,1.0,@FoxNews,0.0,63
63,0.0,0.0,1.0,@FoxNews,0.0,64
64,0.5267,0.0,0.746,@FoxNews,0.254,65
65,-0.8176,0.543,0.457,@FoxNews,0.0,66
66,0.4404,0.0,0.838,@FoxNews,0.162,67
67,0.0,0.0,1.0,@FoxNews,0.0,68
68,0.0,0.0,1.0,@FoxNews,0.0,69
69,0.0,0.0,1.0,@FoxNews,0.0,70
70,-0.4019,0.252,0.748,@FoxNews,0.0,71
71,0.1531,0.173,0.617,@FoxNews,0.21,72
72,0.0,0.0,1.0,@FoxNews,0.0,73
73,0.0,0.0,1.0,@FoxNews,0.0,74
74,0.2023,0.127,0.696,@FoxNews,0.177,75
75,0.0,0.209,0.581,@FoxNews,0.209,76
76,0.0,0.0,1.0,@FoxNews,0.0,77
77,0.0,0.0,1.0,@FoxNews,0.0,78
78,0.0,0.0,1.0,@FoxNews,0.0,79
79,0.743,0.0,0.588,@FoxNews,0.412,80
80,0.0,0.0,1.0,@FoxNews,0.0,81
81,-0.34,0.124,0.876,@FoxNews,0.0,82
82,0.4404,0.0,0.698,@FoxNews,0.302,83
83,-0.2244,0.106,0.894,@FoxNews,0.0,84
84,0.0191,0.073,0.85,@FoxNews,0.077,85
85,-0.6249,0.317,0.683,@FoxNews,0.0,86
86,0.0,0.0,1.0,@FoxNews,0.0,87
87,0.5859,0.0,0.775,@FoxNews,0.225,88
88,-0.3818,0.133,0.867,@FoxNews,0.0,89
89,-0.3804,0.126,0.874,@FoxNews,0.0,90
90,-0.5574,0.286,0.714,@FoxNews,0.0,91
91,-0.2244,0.106,0.894,@FoxNews,0.0,92
92,0.7557,0.0,0.695,@FoxNews,0.305,93
93,-0.4767,0.307,0.693,@FoxNews,0.0,94
94,0.2263,0.0,0.913,@FoxNews,0.087,95
95,0.0,0.0,1.0,@FoxNews,0.0,96
96,0.0,0.0,1.0,@FoxNews,0.0,97
97,0.0,0.0,1.0,@FoxNews,0.0,98
98,-0.6808,0.384,0.616,@FoxNews,0.0,99
99,-0.6369,0.271,0.729,@FoxNews,0.0,100
0,0.0,0.0,1.0,@nytimes,0.0,1
1,0.0,0.0,1.0,@nytimes,0.0,2
2,0.9169,0.0,0.502,@nytimes,0.498,3
3,-0.4927,0.176,0.824,@nytimes,0.0,4
4,-0.6486,0.323,0.677,@nytimes,0.0,5
5,0.3612,0.0,0.884,@nytimes,0.116,6
6,0.0,0.0,1.0,@nytimes,0.0,7
7,-0.802,0.335,0.602,@nytimes,0.064,8
8,0.0,0.0,1.0,@nytimes,0.0,9
9,-0.128,0.097,0.903,@nytimes,0.0,10
10,0.0,0.0,1.0,@nytimes,0.0,11
11,0.5859,0.0,0.612,@nytimes,0.388,12
12,-0.3818,0.12,0.88,@nytimes,0.0,13
13,0.0,0.0,1.0,@nytimes,0.0,14
14,-0.6597,0.274,0.726,@nytimes,0.0,15
15,-0.4019,0.114,0.886,@nytimes,0.0,16
16,0.5574,0.0,0.777,@nytimes,0.223,17
17,-0.3182,0.223,0.777,@nytimes,0.0,18
18,0.0,0.0,1.0,@nytimes,0.0,19
19,0.0,0.0,1.0,@nytimes,0.0,20
20,-0.3182,0.199,0.69,@nytimes,0.111,21
21,0.0,0.0,1.0,@nytimes,0.0,22
22,0.0,0.0,1.0,@nytimes,0.0,23
23,0.0,0.0,1.0,@nytimes,0.0,24
24,-0.1531,0.107,0.805,@nytimes,0.087,25
25,0.0,0.0,1.0,@nytimes,0.0,26
26,-0.743,0.326,0.674,@nytimes,0.0,27
27,0.0,0.0,1.0,@nytimes,0.0,28
28,0.0,0.0,1.0,@nytimes,0.0,29
29,0.0,0.0,1.0,@nytimes,0.0,30
30,-0.8779,0.502,0.498,@nytimes,0.0,31
31,-0.7783,0.254,0.746,@nytimes,0.0,32
32,0.6249,0.0,0.788,@nytimes,0.212,33
33,-0.1027,0.092,0.833,@nytimes,0.075,34
34,-0.4019,0.234,0.632,@nytimes,0.134,35
35,0.0,0.0,1.0,@nytimes,0.0,36
36,-0.4019,0.13,0.87,@nytimes,0.0,37
37,-0.6369,0.189,0.811,@nytimes,0.0,38
38,0.0,0.0,1.0,@nytimes,0.0,39
39,0.8807,0.0,0.673,@nytimes,0.327,40
40,-0.3182,0.095,0.905,@nytimes,0.0,41
41,0.4019,0.11,0.661,@nytimes,0.229,42
42,-0.4588,0.2,0.8,@nytimes,0.0,43
43,0.4215,0.0,0.882,@nytimes,0.118,44
44,-0.4019,0.175,0.741,@nytimes,0.084,45
45,0.0,0.0,1.0,@nytimes,0.0,46
46,0.0,0.0,1.0,@nytimes,0.0,47
47,0.0,0.0,1.0,@nytimes,0.0,48
48,-0.1531,0.195,0.678,@nytimes,0.127,49
49,0.0,0.0,1.0,@nytimes,0.0,50
50,0.7506,0.0,0.714,@nytimes,0.286,51
51,0.0,0.0,1.0,@nytimes,0.0,52
52,0.0,0.0,1.0,@nytimes,0.0,53
53,0.0,0.0,1.0,@nytimes,0.0,54
54,-0.5095,0.155,0.845,@nytimes,0.0,55
55,0.0,0.0,1.0,@nytimes,0.0,56
56,0.5574,0.0,0.816,@nytimes,0.184,57
57,-0.7269,0.243,0.757,@nytimes,0.0,58
58,0.4215,0.0,0.872,@nytimes,0.128,59
59,0.0,0.0,1.0,@nytimes,0.0,60
60,0.0,0.0,1.0,@nytimes,0.0,61
61,-0.2263,0.106,0.894,@nytimes,0.0,62
62,0.0,0.0,1.0,@nytimes,0.0,63
63,-0.25,0.111,0.889,@nytimes,0.0,64
64,0.0,0.0,1.0,@nytimes,0.0,65
65,-0.7003,0.293,0.707,@nytimes,0.0,66
66,0.0,0.0,1.0,@nytimes,0.0,67
67,0.0,0.0,1.0,@nytimes,0.0,68
68,-0.1511,0.164,0.738,@nytimes,0.098,69
69,0.4019,0.0,0.881,@nytimes,0.119,70
70,0.25,0.0,0.895,@nytimes,0.105,71
71,0.0,0.0,1.0,@nytimes,0.0,72
72,0.0,0.0,1.0,@nytimes,0.0,73
73,-0.4767,0.154,0.846,@nytimes,0.0,74
74,0.0,0.0,1.0,@nytimes,0.0,75
75,-0.4019,0.124,0.876,@nytimes,0.0,76
76,0.1531,0.0,0.929,@nytimes,0.071,77
77,0.0,0.0,1.0,@nytimes,0.0,78
78,0.0,0.0,1.0,@nytimes,0.0,79
79,0.6369,0.0,0.743,@nytimes,0.257,80
80,-0.7579,0.302,0.698,@nytimes,0.0,81
81,0.6369,0.0,0.819,@nytimes,0.181,82
82,-0.2023,0.177,0.709,@nytimes,0.113,83
83,-0.6597,0.245,0.664,@nytimes,0.091,84
84,0.2263,0.144,0.67,@nytimes,0.187,85
85,0.0,0.0,1.0,@nytimes,0.0,86
86,0.4404,0.0,0.847,@nytimes,0.153,87
87,0.0,0.083,0.833,@nytimes,0.083,88
88,0.4939,0.0,0.849,@nytimes,0.151,89
89,-0.5719,0.252,0.748,@nytimes,0.0,90
90,0.5574,0.142,0.526,@nytimes,0.332,91
91,0.7003,0.0,0.734,@nytimes,0.266,92
92,-0.5574,0.175,0.825,@nytimes,0.0,93
93,0.1531,0.151,0.672,@nytimes,0.176,94
94,0.3612,0.0,0.865,@nytimes,0.135,95
95,-0.296,0.128,0.872,@nytimes,0.0,96
96,0.6249,0.0,0.797,@nytimes,0.203,97
97,-0.3818,0.159,0.841,@nytimes,0.0,98
98,-0.5267,0.274,0.726,@nytimes,0.0,99
99,-0.4767,0.114,0.886,@nytimes,0.0,100
